RA (J2000),Dec (J2000)
19 52 28.951,+49 24 00.61
18 55 53.203,+49 35 35.45
19 02 17.830,+49 33 41.26
19 03 53.532,+49 35 21.73
19 08 25.195,+49 35 11.90
19 09 40.440,+49 30 05.00
19 16 13.310,+49 31 17.00
19 16 49.320,+49 31 31.73
19 16 54.283,+49 32 53.52
19 18 50.369,+49 34 14.30
19 29 08.254,+49 30 42.91
19 30 56.095,+49 34 20.68
19 42 29.743,+49 34 27.23
19 48 08.885,+49 30 35.03
18 57 36.897,+49 38 49.60
19 00 51.857,+49 38 52.62
19 01 10.932,+49 37 15.71
19 09 59.866,+49 41 05.26
19 14 33.029,+49 37 28.74
19 16 23.748,+49 40 40.69
19 18 34.596,+49 41 09.89
19 44 09.953,+49 36 41.98
19 46 49.241,+49 41 06.29
19 49 42.505,+49 36 12.57
19 49 56.856,+49 37 24.42
19 01 38.023,+49 45 49.10
19 02 12.801,+49 46 05.59
19 05 45.675,+49 45 59.15
19 05 46.215,+49 44 57.34
19 14 42.125,+49 46 07.54
19 15 48.809,+49 44 36.13
19 16 30.372,+49 47 36.56
19 29 03.670,+49 47 16.58
19 37 03.497,+49 43 58.66
19 39 30.271,+49 46 39.50
19 42 42.113,+49 43 22.33
19 44 08.887,+49 42 26.68
19 44 27.802,+49 44 50.24
19 50 09.254,+49 43 29.21
18 57 58.670,+49 50 41.89
19 13 35.630,+49 52 21.50
19 18 05.918,+49 49 38.60
19 20 37.831,+49 49 52.57
19 30 30.703,+49 48 34.96
19 30 42.223,+49 52 28.52
19 37 29.287,+49 48 44.42
19 49 07.107,+49 48 49.03
19 50 56.594,+49 52 58.87
19 04 06.489,+49 55 41.74
19 14 08.897,+49 57 56.30
19 19 47.285,+49 59 29.40
19 30 27.283,+49 58 27.80
19 36 37.716,+49 56 55.10
19 37 43.359,+49 59 54.17
19 38 37.370,+49 57 22.72
19 40 43.594,+49 56 44.81
19 44 37.406,+49 59 17.56
19 46 26.162,+49 57 11.34
19 47 29.710,+49 55 45.59
18 59 25.469,+50 03 56.41
19 04 38.590,+50 01 29.32
19 14 43.987,+50 04 46.16
19 15 49.932,+50 03 04.25
19 19 11.366,+50 04 30.36
19 19 54.206,+50 04 10.34
19 21 27.274,+50 03 09.40
19 34 07.097,+50 05 52.87
19 37 24.218,+50 04 51.92
19 39 06.943,+50 05 00.71
19 40 30.782,+50 02 20.47
19 42 49.471,+50 01 21.47
19 43 03.612,+50 05 38.72
19 46 52.118,+50 02 13.52
19 47 45.091,+50 00 55.98
19 18 31.183,+50 06 24.44
19 34 27.754,+50 07 39.40
19 35 32.449,+50 09 46.52
19 35 42.098,+50 06 34.67
19 37 36.458,+50 10 19.52
19 38 43.678,+50 10 03.76
19 38 55.359,+50 06 52.13
19 45 33.782,+50 06 09.14
19 02 43.054,+50 14 28.68
19 08 23.244,+50 12 16.81
19 17 27.705,+50 16 57.18
19 20 17.849,+50 12 54.29
19 24 14.767,+50 15 54.47
19 35 18.943,+50 16 25.50
19 37 04.219,+50 17 29.15
19 37 24.650,+50 14 41.50
19 38 53.559,+50 16 00.98
19 43 56.313,+50 14 53.52
19 46 36.144,+50 15 09.54
19 03 23.678,+50 19 53.90
19 03 55.381,+50 20 52.36
19 04 52.854,+50 19 46.14
19 06 32.469,+50 21 43.96
19 18 32.177,+50 18 47.92
19 22 59.851,+50 21 42.37
19 36 18.091,+50 21 51.16
19 40 41.683,+50 22 06.53
19 45 22.514,+50 19 41.05
19 45 43.488,+50 23 31.96
19 05 58.812,+50 28 31.69
19 14 52.771,+50 25 07.86
19 15 01.447,+50 27 17.32
19 16 04.951,+50 26 06.86
19 16 08.282,+50 27 15.08
19 22 34.255,+50 25 46.85
19 22 46.697,+50 24 09.72
19 25 06.319,+50 25 15.20
19 35 52.155,+50 24 47.48
19 36 51.110,+50 26 46.00
19 39 21.874,+50 25 25.97
19 39 22.306,+50 29 27.06
19 41 04.361,+50 28 22.22
19 45 01.210,+50 24 19.84
19 45 51.398,+50 27 57.31
19 47 34.495,+50 26 22.60
19 48 53.244,+50 24 33.80
19 14 08.426,+50 33 56.16
19 14 24.518,+50 35 48.80
19 17 31.668,+50 35 26.48
19 18 06.493,+50 34 21.80
19 22 32.311,+50 35 12.48
19 26 07.269,+50 34 04.48
19 36 21.024,+50 32 02.33
19 37 41.791,+50 34 02.71
19 39 13.922,+50 34 39.36
19 45 01.620,+50 34 39.94
19 47 01.459,+50 33 37.19
19 09 29.462,+50 40 39.47
19 11 22.380,+50 36 31.97
19 13 56.978,+50 40 31.66
19 15 50.894,+50 40 31.91
19 17 19.226,+50 41 45.74
19 21 35.349,+50 39 21.28
19 23 08.117,+50 37 31.15
19 26 43.373,+50 37 51.17
19 27 44.787,+50 40 38.69
19 37 13.142,+50 40 49.48
19 38 58.053,+50 37 19.20
19 42 54.537,+50 38 13.74
19 44 38.606,+50 41 06.47
19 46 15.924,+50 38 18.85
19 11 37.471,+50 45 58.64
19 12 09.202,+50 46 21.18
19 13 52.248,+50 43 16.79
19 26 10.020,+50 45 59.18
19 36 27.144,+50 42 23.51
19 38 18.420,+50 44 15.65
19 43 28.085,+50 47 15.43
19 43 50.419,+50 43 37.67
19 45 30.337,+50 46 21.81
19 47 07.699,+50 46 33.89
19 47 37.939,+50 42 19.08
19 08 49.534,+50 50 49.98
19 15 02.695,+50 52 58.30
19 15 51.605,+50 53 08.41
19 20 19.889,+50 52 05.84
19 40 49.764,+50 53 33.83
19 45 56.477,+50 52 31.87
19 45 57.293,+50 52 09.88
19 46 49.896,+50 48 43.99
19 09 01.119,+50 58 12.25
19 09 57.614,+50 57 06.62
19 12 46.373,+50 55 17.83
19 13 13.169,+50 58 58.98
19 13 30.746,+50 58 21.90
19 14 53.196,+50 54 46.58
19 15 13.097,+50 59 26.23
19 18 40.178,+50 57 29.78
19 19 37.776,+50 54 12.10
19 21 14.090,+50 59 19.93
19 21 21.074,+50 54 51.34
19 21 51.773,+50 55 57.04
19 40 16.325,+50 57 28.26
19 43 24.103,+50 56 02.33
19 46 39.180,+50 59 35.77
19 09 36.334,+51 02 50.75
19 11 27.290,+51 01 23.66
19 12 08.460,+51 00 40.36
19 13 48.026,+51 01 57.47
19 13 52.641,+51 04 39.94
19 17 42.125,+51 05 57.62
19 21 38.268,+51 04 51.82
19 40 51.362,+51 01 51.74
19 47 09.228,+51 00 33.41
19 09 21.826,+51 06 29.63
19 13 02.993,+51 07 42.64
19 16 28.668,+51 09 20.09
19 23 22.284,+51 06 31.10
19 24 01.968,+51 06 31.21
19 24 51.977,+51 10 03.65
19 25 36.420,+51 08 36.96
19 25 50.059,+51 08 38.54
19 41 51.547,+51 10 32.41
19 42 08.033,+51 10 40.22
19 44 49.939,+51 07 03.18
19 44 54.881,+51 08 11.80
19 15 23.671,+51 12 32.58
19 19 23.638,+51 12 13.21
19 22 57.715,+51 15 02.27
19 23 24.996,+51 15 10.80
19 12 40.656,+51 22 55.88
19 15 47.160,+51 20 10.32
19 16 14.534,+51 23 42.97
19 19 08.638,+51 20 59.21
19 21 19.361,+51 22 21.29
19 21 51.768,+51 23 58.16
19 44 07.037,+51 18 37.22
19 46 10.063,+51 20 40.49
19 11 31.422,+51 26 44.99
19 13 03.158,+51 27 36.76
19 13 11.172,+51 25 42.46
19 16 45.365,+51 31 52.90
19 18 38.614,+51 30 49.86
19 19 17.815,+51 33 07.31
19 19 59.542,+51 30 43.81
19 16 18.854,+51 37 54.08
19 21 07.879,+51 36 15.16
19 18 48.432,+51 44 52.69
19 19 38.830,+51 43 11.39
19 21 01.670,+51 45 16.16
19 21 41.844,+51 47 26.23
19 23 03.374,+51 44 01.00
19 14 20.630,+51 49 30.00
19 18 12.368,+51 50 53.23
19 21 27.893,+51 49 37.63
19 16 11.265,+51 57 19.51
19 18 03.175,+51 54 38.20
19 19 27.638,+51 55 42.24
19 20 47.268,+51 58 35.04
19 22 13.502,+51 55 44.15
19 16 27.101,+52 00 43.67
19 20 14.421,+52 00 22.21
19 20 17.774,+52 26 51.86

