RA (J2000),Dec (J2000)
19 30 15.276,+41 10 01.52
19 46 42.091,+41 09 53.17
19 48 56.462,+41 08 43.58
19 54 24.360,+41 10 39.79
18 55 48.161,+41 15 40.54
19 13 41.472,+41 13 07.61
19 22 21.262,+41 14 17.92
19 34 09.775,+41 17 52.73
19 50 17.786,+41 12 10.22
19 51 21.247,+41 12 59.65
19 54 59.148,+41 12 39.96
19 56 21.185,+41 15 13.97
18 54 05.616,+41 18 35.21
18 57 23.666,+41 19 09.80
19 02 49.831,+41 23 00.89
19 15 12.487,+41 23 26.45
19 18 39.331,+41 20 24.32
19 21 20.858,+41 20 19.43
19 22 40.238,+41 22 47.96
19 25 52.644,+41 22 35.26
19 27 14.969,+41 18 00.83
19 29 58.044,+41 20 31.38
19 47 10.514,+41 20 06.86
18 49 13.404,+41 24 52.31
19 01 09.710,+41 24 53.89
19 15 10.541,+41 24 44.60
19 21 21.794,+41 24 18.76
19 22 28.961,+41 29 44.16
19 27 53.160,+41 24 12.02
19 29 27.355,+41 27 47.88
19 31 26.590,+41 29 58.34
19 34 10.862,+41 27 53.53
19 37 04.498,+41 25 43.25
19 37 31.591,+41 29 55.57
19 43 45.007,+41 29 45.10
19 48 23.907,+41 24 46.55
19 48 25.452,+41 28 18.62
18 51 40.752,+41 34 26.76
18 58 46.711,+41 33 51.01
19 07 59.832,+41 33 35.03
19 15 14.078,+41 34 20.14
19 17 22.870,+41 35 51.65
19 19 38.673,+41 33 01.33
19 20 31.958,+41 35 19.50
19 31 46.330,+41 34 50.30
19 32 03.773,+41 33 04.64
19 36 46.085,+41 34 44.76
19 51 52.176,+41 30 21.64
19 18 24.533,+41 41 53.66
19 30 14.638,+41 37 24.10
19 34 15.154,+41 37 18.52
19 37 10.049,+41 41 20.98
19 37 58.613,+41 41 30.34
19 56 19.442,+41 41 40.42
19 57 20.227,+41 38 32.60
19 06 40.769,+41 42 35.28
19 06 50.295,+41 45 44.42
19 06 56.921,+41 47 53.34
19 20 49.582,+41 47 42.94
