_r,_RAJ2000,_DEJ2000,KIC,Teff,e_Teff,r_Teff,n_Teff,log(g),e_log(g),r_log(g),n_log(g),[Fe/H],e_[Fe/H],r_[Fe/H],n_[Fe/H],T,Teff1,log.g1,[Fe/H]1,R,M,n_M,rho,Ref,_RA,_DE
arcsec,h:m:s,d:m:s, ,K,K, , ,[cm/s2],[cm/s2], , ,[Sun],[Sun], , , ,K,[cm/s2],[Sun],Rsun,Msun, ,g/cm3, ,deg,deg
----,-----------,-----------,--------,-----,----,--,---,------,------,--,---,------,------,--,---,---,-----,------,------,-------,------,----,---------,--,---------,---------
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 46 22.88,+46 43 23.6,9903392,4956,149,1,PHO,3.529,0.4,0,KIC,0.126,0.3,0,KIC,1,4955,3.549,0.12,3.205,1.326,DSEP,5.67E-02,  ,296.59534,46.72321
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 49 02.54,+46 45 44.4,9905582,5045,151,1,PHO,3.527,0.4,0,KIC,-0.401,0.3,0,KIC,1,5047,3.518,-0.4,2.713,0.886,DSEP,6.24E-02,  ,297.26059,46.76233
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 58 20.77,+46 45 55.9,9913481,7631,267,0,KIC,3.525,0.4,0,KIC,-0.047,0.3,0,KIC,1,7624,3.622,-0.04,3.682,2.068,DSEP,5.83E-02,  ,299.58655,46.76554
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,18 54 59.33,+46 48 52.4,9936124,5412,159,1,PHO,3.563,0.4,0,KIC,0.056,0.3,0,KIC,1,5421,3.552,0.07,3.582,1.667,DSEP,5.11E-02,  ,283.74719,46.81456
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 12 08.18,+46 51 09.1,9943441,7786,272,0,KIC,3.565,0.4,0,KIC,-0.244,0.3,0,KIC,1,7773,3.613,-0.24,3.653,1.995,DSEP,5.76E-02,  ,288.03409,46.85253
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 14 31.00,+46 53 01.9,9944438,8408,294,0,KIC,3.577,0.4,0,KIC,-0.394,0.3,0,KIC,1,8423,3.574,-0.5,3.927,2.11,DSEP,4.90E-02,  ,288.62915,46.88386
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 14 40.02,+46 48 40.1,9944502,5689,169,1,PHO,3.508,0.4,0,KIC,0.269,0.3,0,KIC,1,5697,3.498,0.28,3.951,1.791,DSEP,4.09E-02,  ,288.66675,46.81114
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 19 15.61,+46 52 20.9,9946597,7365,257,0,KIC,3.532,0.4,0,KIC,-1.622,0.3,0,KIC,1,7368,3.548,-1.6,3.324,1.424,DSEP,5.46E-02,  ,289.81503,46.87247
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 47 07.51,+46 53 00.5,9963898,5062,159,1,PHO,3.568,0.4,0,KIC,-0.435,0.3,0,KIC,1,5065,3.561,-0.44,2.545,0.86,DSEP,7.35E-02,  ,296.78131,46.88346
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 48 23.76,+46 50 07.4,9964907,5465,181,1,PHO,3.517,0.4,0,KIC,0.104,0.3,0,KIC,1,5452,3.507,0.1,3.867,1.752,DSEP,4.27E-02,  ,297.099,46.83539
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 49 16.28,+46 51 12.6,9965648,5036,154,1,PHO,3.549,0.4,0,KIC,0,0.3,0,KIC,1,5038,3.552,0,3.193,1.326,DSEP,5.74E-02,  ,297.31784,46.85349
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 53 04.84,+46 51 49.1,9968907,5070,146,1,PHO,3.585,0.4,0,KIC,-0.099,0.3,0,KIC,1,5071,3.579,-0.1,2.96,1.211,DSEP,6.57E-02,  ,298.27017,46.86364
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 58 38.51,+46 49 43.1,9973488,7805,273,0,KIC,3.558,0.4,0,KIC,-0.078,0.3,0,KIC,1,7780,3.658,-0.08,3.516,2.054,DSEP,6.66E-02,  ,299.66046,46.82863
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,20 00 12.42,+46 51 14.2,9974707,6055,203,1,PHO,3.549,0.4,0,KIC,-0.143,0.3,0,KIC,1,6050,3.574,-0.14,3.361,1.545,DSEP,5.73E-02,  ,300.05176,46.85394
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,18 44 24.14,+46 54 32.6,9991521,5365,157,1,PHO,3.51,0.4,0,KIC,-0.356,0.3,0,KIC,1,5376,3.49,-0.34,3.637,1.493,DSEP,4.37E-02,  ,281.10059,46.90905
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,18 52 45.89,+46 56 02.7,9994771,5523,153,1,PHO,3.571,0.4,0,KIC,-0.281,0.3,0,KIC,1,5525,3.568,-0.28,3.287,1.457,DSEP,5.78E-02,  ,283.19122,46.93408
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18 57 06.81,+46 59 29.6,9996624,5117,150,1,PHO,3.521,0.4,0,KIC,-0.096,0.3,0,KIC,1,5122,3.512,-0.1,3.425,1.391,DSEP,4.88E-02,  ,284.27838,46.99156
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 07 21.55,+46 57 11.6,10000981,5063,148,1,PHO,3.569,0.4,0,KIC,-0.677,0.3,0,KIC,1,5107,3.49,-0.58,2.706,0.825,DSEP,5.86E-02,  ,286.83981,46.95322
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 08 47.11,+46 55 34.0,10001558,5139,146,1,PHO,3.563,0.4,0,KIC,-0.516,0.3,0,KIC,1,5140,3.552,-0.52,2.623,0.895,DSEP,6.98E-02,  ,287.19629,46.92612
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 38 03.65,+46 54 02.5,10018337,5307,166,1,PHO,3.557,0.4,0,KIC,-0.163,0.3,0,KIC,1,5294,3.571,-0.18,3.258,1.441,DSEP,5.87E-02,  ,294.5152,46.90068
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 38 48.59,+46 58 33.4,10018832,4898,143,1,PHO,3.565,0.4,0,KIC,-0.018,0.3,0,KIC,1,4895,3.554,-0.02,2.75,0.988,DSEP,6.69E-02,  ,294.70245,46.97594
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 45 34.23,+46 58 03.7,10023547,5311,157,1,PHO,3.582,0.4,0,KIC,0.213,0.3,0,KIC,1,5322,3.594,0.22,3.391,1.644,DSEP,5.94E-02,  ,296.39264,46.96768
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,19 48 52.31,+46 54 39.9,10026303,6015,210,54,PHO,3.583,0.4,54,PHO,-0.74,0.3,54,PHO,0,6021,3.602,-0.74,2.906,1.232,DSEP,7.07E-02,  ,297.21796,46.91108
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 50 18.92,+46 54 44.1,10027563,7530,263,0,KIC,3.555,0.4,0,KIC,-0.347,0.3,0,KIC,1,7545,3.539,-0.34,3.941,1.958,DSEP,4.51E-02,  ,297.57883,46.91224
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 51 02.31,+46 59 32.8,10028221,4966,149,1,PHO,3.546,0.4,0,KIC,-0.509,0.3,0,KIC,1,5010,3.464,-0.4,2.833,0.851,DSEP,5.27E-02,  ,297.75961,46.99243
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 59 25.86,+46 55 25.2,10035235,6049,216,1,PHO,3.526,0.4,0,KIC,0.163,0.3,0,KIC,1,6054,3.508,0.16,3.977,1.857,DSEP,4.16E-02,  ,299.85773,46.92366
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 04 27.83,+47 01 48.4,10062704,5009,147,1,PHO,3.574,0.4,0,KIC,0.059,0.3,0,KIC,1,5014,3.57,0.07,3.147,1.341,DSEP,6.06E-02,  ,286.11597,47.03012
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 16 08.77,+47 01 11.5,10068462,5513,192,0,KIC,3.501,0.4,0,KIC,-0.057,0.3,0,KIC,0,5518,3.485,-0.06,3.914,1.707,DSEP,4.01E-02,  ,289.03653,47.01986
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 33 29.44,+47 03 28.4,10078979,5195,151,1,PHO,3.549,0.4,0,KIC,-0.192,0.3,0,KIC,1,5190,3.557,-0.2,3.178,1.329,DSEP,5.84E-02,  ,293.37265,47.05788
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 40 22.12,+47 05 36.9,10083666,5314,162,1,PHO,3.537,0.4,0,KIC,-0.2,0.3,0,KIC,1,5305,3.536,-0.2,3.436,1.481,DSEP,5.14E-02,  ,295.09216,47.09359
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 45 38.50,+47 03 35.0,10087579,5297,165,1,PHO,3.558,0.4,0,KIC,-0.186,0.3,0,KIC,1,5294,3.571,-0.18,3.258,1.441,DSEP,5.87E-02,  ,296.4104,47.05971
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 54 28.53,+47 01 43.6,10095141,5132,163,1,PHO,3.515,0.4,0,KIC,-0.055,0.3,0,KIC,1,5129,3.515,-0.06,3.472,1.44,DSEP,4.85E-02,  ,298.61887,47.02878
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,18 47 10.19,+47 10 05.5,10119930,5299,151,1,PHO,3.578,0.4,0,KIC,-0.072,0.3,0,KIC,1,5301,3.571,-0.08,3.339,1.513,DSEP,5.73E-02,  ,281.79245,47.16819
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,18 51 33.17,+47 10 43.5,10121721,5825,203,54,PHO,3.553,0.4,54,PHO,-1.18,0.3,54,PHO,0,5815,3.554,-1.18,2.809,1.029,DSEP,6.54E-02,  ,282.88821,47.17876
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 13 02.72,+47 08 10.8,10132358,5049,150,1,PHO,3.589,0.4,0,KIC,-0.626,0.3,0,KIC,1,5095,3.534,-0.54,2.579,0.828,DSEP,6.80E-02,  ,288.26135,47.13634
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,19 20 50.73,+47 06 35.9,10136905,5252,157,1,PHO,3.556,0.4,0,KIC,-0.247,0.3,0,KIC,1,5249,3.543,-0.26,3.287,1.378,DSEP,5.46E-02,  ,290.21136,47.10998
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 35 52.54,+47 08 25.8,10146700,6143,215,54,PHO,3.552,0.4,54,PHO,-0.4,0.3,54,PHO,0,6136,3.538,-0.42,3.41,1.465,DSEP,5.20E-02,  ,293.96893,47.14051
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 46 32.49,+47 11 15.9,10154885,5223,155,1,PHO,3.547,0.4,0,KIC,-0.227,0.3,0,KIC,1,5227,3.543,-0.22,3.305,1.391,DSEP,5.43E-02,  ,296.63538,47.18776
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18 44 26.10,+47 13 25.6,10186469,5296,149,1,PHO,3.597,0.4,0,KIC,-0.117,0.3,0,KIC,1,5297,3.614,-0.12,3.073,1.419,DSEP,6.88E-02,  ,281.10873,47.22379
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 09 35.44,+47 16 55.1,10197939,4981,144,1,PHO,3.502,0.4,0,KIC,-0.207,0.3,0,KIC,1,4983,3.503,-0.2,2.905,0.979,DSEP,5.63E-02,  ,287.39767,47.28198
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 44 03.38,+47 15 02.7,10219075,5045,146,1,PHO,3.528,0.4,0,KIC,-0.14,0.3,0,KIC,1,5047,3.53,-0.14,3.052,1.15,DSEP,5.70E-02,  ,296.0141,47.25075
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 44 23.49,+47 14 27.6,10219338,5040,142,1,PHO,3.574,0.4,0,KIC,-0.131,0.3,0,KIC,1,5043,3.569,-0.14,2.857,1.103,DSEP,6.66E-02,  ,296.09787,47.24101
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 44 47.31,+47 17 05.9,10219630,5038,150,1,PHO,3.598,0.4,0,KIC,-0.273,0.3,0,KIC,1,5035,3.608,-0.28,2.516,0.937,DSEP,8.29E-02,  ,296.19711,47.28497
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 50 01.47,+47 12 04.1,10224016,5494,203,1,PHO,3.555,0.4,0,KIC,0.049,0.3,0,KIC,1,5481,3.551,0.04,3.576,1.658,DSEP,5.10E-02,  ,297.50613,47.20115
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 55 25.03,+47 12 52.0,10229037,8035,281,0,KIC,3.572,0.4,0,KIC,-0.174,0.3,0,KIC,1,8009,3.69,-0.2,3.352,2.01,DSEP,7.51E-02,  ,298.85431,47.21446
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 56 15.25,+47 13 35.2,10229863,5327,171,1,PHO,3.556,0.4,0,KIC,-0.268,0.3,0,KIC,1,5324,3.591,-0.26,3.11,1.376,DSEP,6.45E-02,  ,299.06354,47.22644
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 58 24.07,+47 13 49.0,10231786,6202,190,1,PHO,3.555,0.4,0,KIC,-0.297,0.3,0,KIC,1,6217,3.58,-0.28,3.294,1.504,DSEP,5.93E-02,  ,299.60031,47.23029
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,18 42 08.20,+47 22 09.1,10252006,5239,153,1,PHO,3.58,0.4,0,KIC,0.004,0.3,0,KIC,1,5237,3.594,0,3.232,1.495,DSEP,6.24E-02,  ,280.53418,47.36919
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 30 05.52,+47 22 41.7,10275709,5367,159,1,PHO,3.59,0.4,0,KIC,-0.136,0.3,0,KIC,1,5367,3.613,-0.12,3.121,1.459,DSEP,6.76E-02,  ,292.52298,47.37825
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 36 26.37,+47 21 11.5,10279762,5217,161,1,PHO,3.594,0.4,0,KIC,-0.017,0.3,0,KIC,1,5204,3.569,-0.02,3.319,1.49,DSEP,5.74E-02,  ,294.10986,47.3532
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 44 23.28,+47 19 50.3,10285389,5181,152,1,PHO,3.526,0.4,0,KIC,-0.283,0.3,0,KIC,1,5178,3.531,-0.28,3.185,1.257,DSEP,5.48E-02,  ,296.09702,47.33065
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 44 34.35,+47 19 07.2,10285522,5036,152,1,PHO,3.542,0.4,0,KIC,-0.069,0.3,0,KIC,1,5036,3.547,-0.06,3.082,1.221,DSEP,5.88E-02,  ,296.14313,47.31866
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 50 57.60,+47 18 54.5,10290991,5217,161,1,PHO,3.523,0.4,0,KIC,-0.221,0.3,0,KIC,1,5207,3.519,-0.22,3.395,1.391,DSEP,5.01E-02,  ,297.73999,47.31515
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,18 43 33.72,+47 28 49.7,10318430,5329,151,1,PHO,3.508,0.4,0,KIC,-0.307,0.3,0,KIC,1,5319,3.501,-0.32,3.538,1.448,DSEP,4.60E-02,  ,280.8905,47.48048
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18 53 53.58,+47 27 07.1,10322446,5329,169,1,PHO,3.51,0.4,0,KIC,-0.181,0.3,0,KIC,1,5339,3.53,-0.16,3.537,1.544,DSEP,4.92E-02,  ,283.47327,47.45198
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,18 54 02.40,+47 28 27.4,10322513,5425,161,1,PHO,3.515,0.4,0,KIC,-0.127,0.3,0,KIC,1,5435,3.524,-0.1,3.645,1.621,DSEP,4.72E-02,  ,283.51001,47.47428
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,18 58 02.38,+47 25 10.9,10324412,10167,355,0,KIC,3.543,0.4,0,KIC,-0.126,0.3,0,KIC,1,10153,3.543,0.07,5.203,3.451,DSEP,3.45E-02,  ,284.50992,47.41968
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 07 50.62,+47 29 47.7,10328894,5321,171,1,PHO,3.54,0.4,0,KIC,-1.445,0.3,0,KIC,1,5387,3.388,-1.4,2.928,0.763,DSEP,4.29E-02,  ,286.96091,47.49659
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 10 29.28,+47 28 51.4,10330052,5248,157,1,PHO,3.507,0.4,0,KIC,-0.524,0.3,0,KIC,1,5244,3.496,-0.52,3.105,1.1,DSEP,5.18E-02,  ,287.62198,47.48094
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 10 45.80,+47 27 33.8,10330179,5620,196,54,PHO,3.564,0.4,54,PHO,-0.28,0.3,54,PHO,0,5616,3.569,-0.28,3.283,1.456,DSEP,5.79E-02,  ,287.69083,47.45939
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 13 54.23,+47 26 50.1,10331686,5183,145,1,PHO,3.587,0.4,0,KIC,-0.433,0.3,0,KIC,1,5180,3.582,-0.42,2.71,1.024,DSEP,7.24E-02,  ,288.47595,47.44724
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 15 14.15,+47 29 02.4,10332320,7233,259,1,PHO,3.534,0.4,0,KIC,-0.175,0.3,0,KIC,1,7221,3.488,-0.18,4.24,2.018,DSEP,3.73E-02,  ,288.80896,47.48399
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 23 28.37,+47 27 44.3,10337033,5284,154,1,PHO,3.54,0.4,0,KIC,-0.415,0.3,0,KIC,1,5282,3.548,-0.42,3.081,1.222,DSEP,5.88E-02,  ,290.86819,47.46229
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 24 21.14,+47 25 11.1,10337603,5452,178,1,PHO,3.597,0.4,0,KIC,-0.028,0.3,0,KIC,1,5463,3.611,-0.02,3.204,1.528,DSEP,6.54E-02,  ,291.0881,47.41974
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 24 52.16,+47 25 48.8,10337935,5044,153,1,PHO,3.526,0.4,0,KIC,0.235,0.3,0,KIC,1,5050,3.519,0.24,3.638,1.596,DSEP,4.67E-02,  ,291.21732,47.43021
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 26 31.55,+47 24 29.2,10338981,5150,153,1,PHO,3.524,0.4,0,KIC,-0.082,0.3,0,KIC,1,5148,3.516,-0.1,3.453,1.428,DSEP,4.88E-02,  ,291.63147,47.40812
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 37 08.91,+47 24 16.4,10345956,5220,152,1,PHO,3.571,0.4,0,KIC,-0.173,0.3,0,KIC,1,5220,3.583,-0.16,3.132,1.371,DSEP,6.29E-02,  ,294.28714,47.40456
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 54 40.73,+47 26 20.7,10359909,6058,212,54,PHO,3.507,0.4,54,PHO,-2.48,0.3,54,PHO,0,6075,3.537,-2.48,2.641,0.875,DSEP,6.69E-02,  ,298.66971,47.43907
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,18 40 09.57,+47 35 16.5,10382423,5776,202,54,PHO,3.566,0.4,54,PHO,-1.22,0.3,54,PHO,0,5787,3.572,-1.22,2.684,0.979,DSEP,7.14E-02,  ,280.03986,47.58792
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 02 02.31,+47 35 54.9,10391585,5305,158,1,PHO,3.581,0.4,0,KIC,-0.226,0.3,0,KIC,1,5301,3.591,-0.22,3.123,1.389,DSEP,6.42E-02,  ,285.50964,47.59859
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 16 06.39,+47 31 51.2,10398147,5254,156,1,PHO,3.564,0.4,0,KIC,-0.177,0.3,0,KIC,1,5251,3.546,-0.18,3.354,1.442,DSEP,5.38E-02,  ,289.02661,47.53089
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 27 47.88,+47 34 05.9,10405019,7521,263,0,KIC,3.559,0.4,0,KIC,-0.008,0.3,0,KIC,1,7493,3.587,-0.02,3.836,2.075,DSEP,5.18E-02,  ,291.94949,47.56831
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 28 33.51,+47 31 18.5,10405498,5410,167,1,PHO,3.57,0.4,0,KIC,-0.568,0.3,0,KIC,1,5416,3.564,-0.56,2.987,1.193,DSEP,6.30E-02,  ,292.13962,47.52181
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 44 26.75,+47 34 49.7,10416004,5149,166,1,PHO,3.532,0.4,0,KIC,0.155,0.3,0,KIC,1,5161,3.539,0.16,3.598,1.631,DSEP,4.93E-02,  ,296.11145,47.58046
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 47 59.95,+47 33 37.8,10418940,5228,158,1,PHO,3.527,0.4,0,KIC,-0.077,0.3,0,KIC,1,5237,3.548,-0.06,3.436,1.519,DSEP,5.27E-02,  ,296.99979,47.5605
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 50 57.49,+47 34 33.6,10421610,5468,191,54,PHO,3.505,0.4,54,PHO,-0.36,0.3,54,PHO,0,5465,3.504,-0.38,3.565,1.48,DSEP,4.60E-02,  ,297.73953,47.576
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 52 51.85,+47 32 42.1,10423340,5300,160,1,PHO,3.517,0.4,0,KIC,-1.014,0.3,0,KIC,1,5314,3.496,-1,2.627,0.789,DSEP,6.13E-02,  ,298.21606,47.54503
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 55 15.80,+47 30 49.9,10425588,5225,157,1,PHO,3.59,0.4,0,KIC,-0.124,0.3,0,KIC,1,5237,3.607,-0.12,3.062,1.382,DSEP,6.78E-02,  ,298.81583,47.51387
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 56 10.48,+47 35 50.7,10426386,5298,164,1,PHO,3.545,0.4,0,KIC,-0.591,0.3,0,KIC,1,5300,3.558,-0.6,2.801,1.035,DSEP,6.63E-02,  ,299.04367,47.59742
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 57 28.46,+47 31 23.9,10427522,6336,185,1,PHO,3.543,0.4,0,KIC,-0.038,0.3,0,KIC,1,6332,3.546,-0.04,3.649,1.707,DSEP,4.95E-02,  ,299.36859,47.52331
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,18 45 53.84,+47 40 26.2,10449431,5316,160,1,PHO,3.586,0.4,0,KIC,-0.123,0.3,0,KIC,1,5319,3.567,-0.12,3.344,1.503,DSEP,5.66E-02,  ,281.47433,47.67394
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,18 51 54.78,+47 37 47.7,10451952,5182,154,1,PHO,3.553,0.4,0,KIC,0.084,0.3,0,KIC,1,5180,3.559,0.08,3.429,1.556,DSEP,5.43E-02,  ,282.97824,47.62993
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,18 58 09.08,+47 41 30.2,10454901,5760,201,0,KIC,3.587,0.4,0,KIC,-0.182,0.3,0,KIC,0,5755,3.579,-0.2,3.269,1.477,DSEP,5.96E-02,  ,284.53784,47.69171
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 09 01.62,+47 41 26.4,10460020,5054,148,1,PHO,3.527,0.4,0,KIC,-0.517,0.3,0,KIC,1,5069,3.511,-0.5,2.655,0.833,DSEP,6.27E-02,  ,287.25677,47.69066
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 17 23.46,+47 40 25.8,10464258,5179,162,1,PHO,3.501,0.4,0,KIC,-0.059,0.3,0,KIC,1,5172,3.489,-0.08,3.668,1.515,DSEP,4.32E-02,  ,289.34775,47.67383
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 24 11.05,+47 40 24.4,10468372,5613,166,1,PHO,3.568,0.4,0,KIC,-0.257,0.3,0,KIC,1,5607,3.572,-0.26,3.276,1.462,DSEP,5.86E-02,  ,291.04605,47.67345
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 24 41.42,+47 38 26.5,10468632,5283,157,1,PHO,3.59,0.4,0,KIC,-0.156,0.3,0,KIC,1,5282,3.57,-0.16,3.266,1.447,DSEP,5.85E-02,  ,291.17258,47.64069
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 27 23.95,+47 41 49.5,10470294,7204,252,0,KIC,3.52,0.4,0,KIC,-0.297,0.3,0,KIC,1,7186,3.568,-0.3,3.675,1.821,DSEP,5.17E-02,  ,291.84979,47.69708
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,18 53 53.74,+47 43 50.0,10517969,5090,153,1,PHO,3.583,0.4,0,KIC,0.127,0.3,0,KIC,1,5089,3.591,0.12,3.19,1.448,DSEP,6.28E-02,  ,283.47391,47.73056
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,18 54 13.68,+47 45 49.0,10518095,5308,151,1,PHO,3.528,0.4,0,KIC,-0.323,0.3,0,KIC,1,5310,3.527,-0.34,3.369,1.393,DSEP,5.13E-02,  ,283.55698,47.76362
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 29 28.81,+47 43 12.0,10536326,7502,262,0,KIC,3.526,0.4,0,KIC,-0.083,0.3,0,KIC,1,7511,3.574,-0.1,3.867,2.047,DSEP,4.99E-02,  ,292.37003,47.71999
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 44 02.21,+47 46 56.2,10546010,5357,170,1,PHO,3.535,0.4,0,KIC,-0.628,0.3,0,KIC,1,5359,3.535,-0.62,2.984,1.114,DSEP,5.91E-02,  ,296.00919,47.78229
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 47 16.93,+47 46 46.8,10548461,5247,163,1,PHO,3.531,0.4,0,KIC,0.05,0.3,0,KIC,1,5248,3.509,0.04,3.756,1.659,DSEP,4.41E-02,  ,296.82056,47.77966
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 53 35.42,+47 43 58.4,10554061,5521,177,1,PHO,3.599,0.4,0,KIC,-0.328,0.3,0,KIC,1,5505,3.6,-0.34,3.092,1.389,DSEP,6.62E-02,  ,298.39758,47.7329
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 54 50.25,+47 45 10.1,10555142,7221,252,0,KIC,3.505,0.4,0,KIC,-0.177,0.3,0,KIC,1,7221,3.488,-0.18,4.24,2.018,DSEP,3.73E-02,  ,298.70938,47.75281
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,18 49 36.40,+47 49 07.3,10580834,7620,266,0,KIC,3.573,0.4,0,KIC,-0.074,0.3,0,KIC,1,7594,3.601,-0.08,3.754,2.054,DSEP,5.47E-02,  ,282.40167,47.81869
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 00 42.53,+47 51 21.5,10585775,5257,149,1,PHO,3.582,0.4,0,KIC,-0.123,0.3,0,KIC,1,5258,3.57,-0.12,3.282,1.46,DSEP,5.82E-02,  ,285.17719,47.85598
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 03 37.05,+47 50 11.8,10587146,5536,171,1,PHO,3.536,0.4,0,KIC,0.255,0.3,0,KIC,1,5533,3.553,0.24,3.619,1.709,DSEP,5.08E-02,  ,285.90436,47.8366
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 17 25.09,+47 53 25.0,10593981,5238,164,1,PHO,3.586,0.4,0,KIC,0.153,0.3,0,KIC,1,5233,3.627,0.14,3.144,1.528,DSEP,6.93E-02,  ,289.35455,47.89029
