_r,_RAJ2000,_DEJ2000,KIC,Teff,e_Teff,r_Teff,n_Teff,log(g),e_log(g),r_log(g),n_log(g),[Fe/H],e_[Fe/H],r_[Fe/H],n_[Fe/H],T,Teff1,log.g1,[Fe/H]1,R,M,n_M,rho,Ref,_RA,_DE
arcsec,h:m:s,d:m:s, ,K,K, , ,[cm/s2],[cm/s2], , ,[Sun],[Sun], , , ,K,[cm/s2],[Sun],Rsun,Msun, ,g/cm3, ,deg,deg
----,-----------,-----------,--------,-----,----,--,---,------,------,--,---,------,------,--,---,---,-----,------,------,-------,------,----,---------,--,---------,---------
0.01,19 06 15.21,+38 13 54.5,3099759,5076,147,1,PHO,3.571,0.4,0,KIC,-0.433,0.3,0,KIC,1,5078,3.561,-0.44,2.572,0.878,DSEP,7.26E-02,  ,286.56339,38.23182
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 07 22.76,+38 17 58.2,3100575,5026,149,1,PHO,3.5,0.4,0,KIC,-0.16,0.3,0,KIC,1,5029,3.502,-0.16,3.084,1.101,DSEP,5.29E-02,  ,286.84485,38.29949
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 09 15.70,+38 12 00.5,3101899,5085,150,1,PHO,3.579,0.4,0,KIC,-0.203,0.3,0,KIC,1,5083,3.564,-0.2,2.884,1.112,DSEP,6.53E-02,  ,287.31543,38.20015
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 09 57.22,+38 13 51.6,3102411,5008,143,1,PHO,3.592,0.4,0,KIC,-0.631,0.3,0,KIC,1,5065,3.488,-0.5,2.725,0.834,DSEP,5.80E-02,  ,287.48843,38.23099
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 18 46.00,+38 15 52.8,3109620,5111,155,1,PHO,3.585,0.4,0,KIC,-0.281,0.3,0,KIC,1,5105,3.582,-0.28,2.748,1.053,DSEP,7.15E-02,  ,289.69165,38.26467
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 19 49.55,+38 13 06.7,3110638,5276,170,1,PHO,3.518,0.4,0,KIC,-1.197,0.3,0,KIC,1,5328,3.409,-1.14,2.886,0.779,DSEP,4.56E-02,  ,289.95645,38.21852
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 22 36.17,+38 13 18.3,3113323,5281,156,1,PHO,3.575,0.4,0,KIC,-0.622,0.3,0,KIC,1,5282,3.581,-0.62,2.651,0.975,DSEP,7.37E-02,  ,290.6507,38.22175
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 23 06.50,+38 12 55.9,3113809,5479,161,1,PHO,3.565,0.4,0,KIC,-0.664,0.3,0,KIC,1,5489,3.564,-0.66,2.945,1.158,DSEP,6.39E-02,  ,290.77707,38.21552
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,19 24 28.08,+38 12 50.1,3115178,5046,176,10,PHO,3.552,0.03,10,AST,-0.2,0.3,10,PHO,1,5046,3.552,-0.2,2.98,1.16,MULT,6.15E-02,10,291.117,38.21392
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 27 40.80,+38 13 10.1,3118655,5144,171,1,PHO,3.537,0.4,0,KIC,0.396,0.3,0,KIC,1,5129,3.535,0.4,3.721,1.73,DSEP,4.73E-02,  ,291.92001,38.21948
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 30 07.08,+38 16 58.3,3121340,5106,158,1,PHO,3.538,0.4,0,KIC,-0.838,0.3,0,KIC,1,5160,3.424,-0.72,2.897,0.812,DSEP,4.70E-02,  ,292.52948,38.28285
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 38 29.50,+38 15 14.1,3130768,5244,171,1,PHO,3.586,0.4,0,KIC,-0.745,0.3,0,KIC,1,5242,3.577,-0.74,2.458,0.832,DSEP,7.89E-02,  ,294.62292,38.25391
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 01 04.74,+38 23 12.1,3215815,5021,147,1,PHO,3.555,0.4,0,KIC,-0.468,0.3,0,KIC,1,5044,3.534,-0.44,2.602,0.843,DSEP,6.74E-02,  ,285.26974,38.38669
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 01 58.37,+38 21 24.2,3216373,5396,168,1,PHO,3.5,0.4,0,KIC,0.001,0.3,0,KIC,1,5388,3.49,0,3.912,1.725,DSEP,4.06E-02,  ,285.49319,38.35673
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 05 35.91,+38 23 06.7,3218680,5057,145,1,PHO,3.505,0.4,0,KIC,0.194,0.3,0,KIC,1,5064,3.515,0.2,3.647,1.587,DSEP,4.61E-02,  ,286.39963,38.38521
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 18 49.23,+38 20 59.4,3228580,5282,167,1,PHO,3.51,0.4,0,KIC,-0.122,0.3,0,KIC,1,5274,3.508,-0.14,3.631,1.551,DSEP,4.56E-02,  ,289.70514,38.34984
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 18 55.10,+38 19 19.5,3228689,5233,162,1,PHO,3.566,0.4,0,KIC,-0.333,0.3,0,KIC,1,5232,3.571,-0.34,2.992,1.216,DSEP,6.40E-02,  ,289.72958,38.32208
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 19 57.18,+38 21 44.1,3229705,5095,153,1,PHO,3.596,0.4,0,KIC,-0.15,0.3,0,KIC,1,5094,3.588,-0.16,2.875,1.169,DSEP,6.93E-02,  ,289.98825,38.36225
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,19 23 01.35,+38 21 56.2,3232488,5127,159,1,PHO,3.524,0.4,0,KIC,-0.418,0.3,0,KIC,1,5123,3.528,-0.42,2.815,0.976,DSEP,6.16E-02,  ,290.75562,38.36561
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 23 48.41,+38 22 48.8,3233199,5141,155,1,PHO,3.579,0.4,0,KIC,0.084,0.3,0,KIC,1,5143,3.571,0.1,3.345,1.521,DSEP,5.72E-02,  ,290.95169,38.38021
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 24 19.51,+38 20 47.0,3233647,5185,164,1,PHO,3.558,0.4,0,KIC,-0.15,0.3,0,KIC,1,5180,3.561,-0.14,3.22,1.378,DSEP,5.81E-02,  ,291.0813,38.34639
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 26 26.39,+38 23 41.8,3235687,5217,164,1,PHO,3.577,0.4,0,KIC,-0.127,0.3,0,KIC,1,5216,3.567,-0.14,3.24,1.414,DSEP,5.86E-02,  ,291.60995,38.39496
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 31 35.97,+38 22 12.1,3240866,5066,155,1,PHO,3.593,0.4,0,KIC,-0.43,0.3,0,KIC,1,5068,3.584,-0.42,2.496,0.872,DSEP,7.90E-02,  ,292.89987,38.37003
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 01 21.51,+38 28 14.3,3323298,5065,149,1,PHO,3.556,0.4,0,KIC,-0.205,0.3,0,KIC,1,5062,3.546,-0.2,2.918,1.091,DSEP,6.19E-02,  ,285.33963,38.47063
,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19 10 27.34,+38 28 52.8,3329196,5161,180,10,PHO,3.563,0.03,10,AST,-0.2,0.3,10,PHO,1,5161,3.563,-0.2,2.83,1.07,MULT,6.63E-02,10,287.61392,38.48134
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 13 07.76,+38 27 34.3,3331147,7247,253,0,KIC,3.553,0.4,0,KIC,-0.201,0.3,0,KIC,1,7256,3.6,-0.22,3.567,1.849,DSEP,5.74E-02,  ,288.28232,38.45954
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 18 07.80,+38 26 27.5,3335197,5338,164,1,PHO,3.505,0.4,0,KIC,-0.144,0.3,0,KIC,1,5334,3.492,-0.14,3.773,1.61,DSEP,4.22E-02,  ,289.5325,38.44096
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 18 23.96,+38 24 21.7,3335435,4995,150,1,PHO,3.595,0.4,0,KIC,0.253,0.3,0,KIC,1,4992,3.599,0.24,3.125,1.414,DSEP,6.53E-02,  ,289.59985,38.40602
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 19 07.84,+38 25 04.1,3336111,5191,158,1,PHO,3.515,0.4,0,KIC,0.041,0.3,0,KIC,1,5198,3.527,0.06,3.615,1.605,DSEP,4.78E-02,  ,289.78268,38.4178
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 19 27.60,+38 27 51.3,3336434,5304,160,1,PHO,3.508,0.4,0,KIC,-0.45,0.3,0,KIC,1,5303,3.511,-0.46,3.262,1.26,DSEP,5.11E-02,  ,289.86502,38.46426
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,19 30 45.56,+38 25 57.7,3347135,5198,157,1,PHO,3.523,0.4,0,KIC,-0.476,0.3,0,KIC,1,5198,3.531,-0.48,2.885,1.032,DSEP,6.05E-02,  ,292.68982,38.43269
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 31 12.41,+38 26 32.1,3347570,5177,160,1,PHO,3.561,0.4,0,KIC,-0.031,0.3,0,KIC,1,5170,3.568,-0.04,3.272,1.444,DSEP,5.80E-02,  ,292.8017,38.44226
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,19 36 01.39,+38 27 57.1,3352479,5737,181,1,PHO,3.581,0.4,0,KIC,0.012,0.3,0,KIC,1,5729,3.581,0.02,3.382,1.589,DSEP,5.79E-02,  ,294.0058,38.46587
,,,,,,,,,,,,,,,,,,,,,,,,,,
