Filename:         max_freq,   max_val,    Variable_Star,  Potential_EB,   Visual_Followup
Processed_kplr003745184-2010174085026_llc.fits.txt  3695225.618506  6.575000  1  0  1

Processed_kplr003745184-2010265121752_llc.fits.txt  3270408.232854  6.575000  1  0  1

Processed_kplr003745184-2010355172524_llc.fits.txt  3602392.437059  6.575000  1  0  0

Processed_kplr003745184-2011073133259_llc.fits.txt  2602421.638559  6.575000  1  0  0

Processed_kplr003745184-2011177032512_llc.fits.txt  3602783.280614  6.575000  1  0  1

Processed_kplr003745184-2011271113734_llc.fits.txt  3309938.937331  6.575000  1  0  1

Processed_kplr003745184-2012004120508_llc.fits.txt  3416047.493928  6.575000  1  0  1

Processed_kplr003745184-2012088054726_llc.fits.txt  2785678.971633  6.575000  1  0  1

Processed_kplr003745184-2012179063303_llc.fits.txt  3912137.350248  6.575000  1  0  1

Processed_kplr003745184-2012277125453_llc.fits.txt  3401557.982815  6.575000  1  0  1

Processed_kplr003745184-2013011073258_llc.fits.txt  3651488.652745  6.575000  1  0  1

Processed_kplr003745184-2013098041711_llc.fits.txt  2821238.080067  6.575000  1  0  1

Processed_kplr003745184-2013131215648_llc.fits.txt  1038687.338670  6.575000  1  0  1

Processed_kplr003757588-2009259160929_llc.fits.txt  26741.821007  0.210000  1  0  1

Processed_kplr003757588-2009350155506_llc.fits.txt  30873.013716  0.110000  1  0  1

Processed_kplr003757588-2010078095331_llc.fits.txt  396613.860794  0.015000  1  0  1

Processed_kplr003757588-2010174085026_llc.fits.txt  413258.969074  0.015000  1  0  1

Processed_kplr003757588-2010355172524_llc.fits.txt  387243.280121  0.025000  1  0  1

Processed_kplr003757588-2011177032512_llc.fits.txt  507098.621532  0.015000  1  0  1

Processed_kplr003757588-2012088054726_llc.fits.txt  276044.010699  0.020000  1  0  1

Processed_kplr003757588-2012179063303_llc.fits.txt  167724.254062  0.035000  1  0  1

Processed_kplr003757588-2013011073258_llc.fits.txt  236706.297349  0.020000  1  0  1

Processed_kplr003757588-2013098041711_llc.fits.txt  210578.430506  0.015000  1  0  1

Processed_kplr003957477-2009166043257_llc.fits.txt  1626615.694484  2.045000  1  0  1

Processed_kplr003957477-2009259160929_llc.fits.txt  3747054.915369  2.045000  1  0  1

Processed_kplr003957477-2009350155506_llc.fits.txt  3776623.964476  2.045000  1  0  1

Processed_kplr003957477-2010078095331_llc.fits.txt  3951740.690603  2.045000  1  0  0

Processed_kplr003957477-2010174085026_llc.fits.txt  4196827.001650  2.045000  1  0  1

Processed_kplr003957477-2010265121752_llc.fits.txt  3947091.732241  2.045000  1  0  1

Processed_kplr003957477-2010355172524_llc.fits.txt  3891773.099384  2.045000  1  0  1

Processed_kplr003957477-2011073133259_llc.fits.txt  3055308.845666  2.045000  1  0  0

Processed_kplr003957477-2011177032512_llc.fits.txt  4554063.699991  2.045000  1  0  1

Processed_kplr003957477-2011271113734_llc.fits.txt  4058936.357592  2.045000  1  0  1

Processed_kplr003957477-2012004120508_llc.fits.txt  4198819.658199  2.045000  1  0  0

Processed_kplr003957477-2012088054726_llc.fits.txt  3206149.371615  2.045000  1  0  1

Processed_kplr003957477-2012179063303_llc.fits.txt  4042499.647648  2.045000  1  0  1

Processed_kplr003957477-2012277125453_llc.fits.txt  3777860.120523  2.045000  1  0  1

Processed_kplr003957477-2013011073258_llc.fits.txt  3862531.307157  2.045000  1  0  1

Processed_kplr003957477-2013098041711_llc.fits.txt  3295070.941061  2.045000  1  0  1

Processed_kplr003957477-2013131215648_llc.fits.txt  1233282.222216  2.045000  1  0  1

Processed_kplr004150136-2009166043257_llc.fits.txt  11201.495521  0.105000  1  0  0

Processed_kplr004150136-2009259160929_llc.fits.txt  35161.674294  0.105000  1  0  1

Processed_kplr004150136-2009350155506_llc.fits.txt  25984.386081  0.105000  1  0  0

Processed_kplr004150136-2010078095331_llc.fits.txt  26310.405659  0.105000  1  0  0

Processed_kplr004150136-2010174085026_llc.fits.txt  32496.892071  0.105000  1  0  0

Processed_kplr004150136-2010265121752_llc.fits.txt  28219.032305  0.105000  1  0  0

Processed_kplr004150136-2010355172524_llc.fits.txt  27460.141840  0.105000  1  0  0

Processed_kplr004150136-2011073133259_llc.fits.txt  21998.368186  0.105000  1  0  0

